index,pmu_name,captured_at,soc,fracsec_raw,fracsec_count,lag_ms,raw_hex,raw_bytes
33,pmu-2,2026-09-07T04:58:33.0031379Z,1788757125,180000,180000,-12176.862,aa01005800016a9e44850002bf2000004294027ebde6cb6e4293f15bbe0ce7db429400cbbe08189042941358bdf5b2f64293fdf8be071eec4293f6cbbe0a111c427004b2b8b147ae00000000000000000000000000012cbd,88
34,pmu-1,2026-09-07T04:58:33.0031379Z,1788757124,920000,920000,-11916.862,aa01005800016a9e4484000e09c0000042abfead3fb0a15542ac05573fb4920a42ac07b23fb179d742abe9f23fb2e8e842abf4bb3fb2883b42abf2433faf39db42700643393347ae0000000000000000000000000002e1a2,88
35,pmu-5,2026-09-07T04:58:33.0031379Z,1788757125,280000,280000,-12276.862,aa01005800016a9e4485000445c0000042abf0f93fb12d3042ac07b63fb01ce642ac041d3fb3cad642ac01c13fb09b7942abfdc53fb3f3bc42abf6e43faf883a427002d1395fd70a000000000000000000000000000e47bc,88
36,pmu-5,2026-09-07T04:58:33.0486591Z,1788757125,300000,300000,-12251.341,aa01005800016a9e4485000493e0000042b1ed203fe0be7f42b203133fdf833542b205e83fe3b2ab42b203fa3fe15fef42b1faed3fe5521e42b1f5a53fdfe82a426ffc27b9087ae1000000000000000000000000000f8bf2,88
37,pmu-2,2026-09-07T04:58:33.0486591Z,1788757125,200000,200000,-12151.341,aa01005800016a9e448500030d400000429a02553e8a37254299f03a3e7efc2f429a02fc3e75091f429a0f1d3e84b0d94299fc913e7f07794299f8e63e7aaf84427000c6b8a0a3d700000000000000000000000000025eda,88
38,pmu-4,2026-09-07T04:58:33.0486591Z,1788757124,780000,780000,-11731.341,aa01005800016a9e4484000be6e000004281f866bfa2bad9428200bfbfa04dac4282047dbfa005e242820a42bfa4db114281fe20bf9eac4b42820ab5bfa47ac242700088b7251eb800000000000000000000000000078c9d,88
39,pmu-5,2026-09-07T04:58:33.0486591Z,1788757125,320000,320000,-12271.341,aa01005800016a9e44850004e200000042b7ec2b4008f18742b7ffb34007a7f842b80953400a7b1642b808774008f1bf42b7f910400a7f0e42b7fa004007fda1426ff5cdb902147b00000000000000000000000000008955,88
40,pmu-2,2026-09-07T04:58:33.0486591Z,1788757125,220000,220000,-12171.341,aa01005800016a9e448500035b60000042a004b93f231562429fee8d3f1ee36d42a001c33f1d456342a00f453f226b0d429ff9463f202ebd429ff7283f1e6e104270012a37000000000000000000000000000000000398dd,88
41,pmu-3,2026-09-07T04:58:33.0486591Z,1788757125,100000,100000,-12051.341,aa01005800016a9e4485000186a0000042a00d363f27cf5e429ffb6e3f20c293429ffff43f21230142a0060a3f1fcb0742a009323f211b28429fef7b3f1df28b426fff93382ccccd000000000000000000000000000d07ce,88
42,pmu-1,2026-09-07T04:58:33.0486591Z,1788757124,940000,940000,-11891.341,aa01005800016a9e4484000e57e0000042b1fd2e3fe1a11342b203053fe5b15242b206e83fe1635542b1e8463fe4186942b1f95b3fe2163e42b1f3c73fdf9f8d426ff79fb995eb85000000000000000000000000000386d4,88
43,pmu-1,2026-09-07T04:58:33.0486591Z,1788757124,960000,960000,-11911.341,aa01005800016a9e4484000ea600000042b801264008a0be42b802e0400af45942b80a7140094fb842b7e6a1400acd5e42b7f7454008b77242b7f0564007afcb426ff857376b851f000000000000000000000000000406dd,88
44,pmu-3,2026-09-07T04:58:33.0486591Z,1788757125,120000,120000,-12071.341,aa01005800016a9e44850001d4c0000042a60b183f85199642a5fbc63f80cb0642a5fe1a3f802ef442a602a23f80fd1e42a609053f80d14b42a5ed783f7d9bba426ffdc9b8128f5c000000000000000000000000000e77bb,88
45,pmu-4,2026-09-07T04:58:33.0486591Z,1788757124,800000,800000,-11751.341,aa01005800016a9e4484000c350000004287faf7bf655407428804d8bf5e6ae6428808fbbf5f102c428806debf6773924287f9b2bf5b48e7428809eebf690e17427002ad382fae140000000000000000000000000008471e,88
46,pmu-5,2026-09-07T04:58:33.1022521Z,1788757125,340000,340000,-12237.748,aa01005800016a9e448500053020000042bde81940213a9642bdfd4f401f674e42be0ce140231e8a42be05ed40216e7542bdf9ee402209e142bdf958401fe6864270065039a9147b0000000000000000000000000001c0d9,88
47,pmu-4,2026-09-07T04:58:33.1022521Z,1788757124,820000,820000,-11717.748,aa01005800016a9e4484000c83200000428df890bf04ef7a428e01ebbefe9cf5428e0e02befe64c6428e066abf08448d428df5d3bef7a8e1428e076ebf07afef427006fd38b0a3d700000000000000000000000000093934,88
48,pmu-2,2026-09-07T04:58:33.1022521Z,1788757125,240000,240000,-12137.748,aa01005800016a9e44850003a980000042a607313f81af7242a5e9ea3f80d29442a5fe233f7f19fd42a60b013f81903442a5faa53f7f229942a5f9fa3f7e0387426ff7eab93d70a40000000000000000000000000004983d,88
49,pmu-5,2026-09-07T04:58:33.1022521Z,1788757125,360000,360000,-12257.748,aa01005800016a9e448500057e40000042c3e59140399b7a42c3fb2c40377ab642c40bda403ba97342c406c04039778e42c3f90d403a786e42c3fc9e4037ac4c426ff89fb98c33330000000000000000000000000002a443,88
50,pmu-3,2026-09-07T04:58:33.1022521Z,1788757125,140000,140000,-12037.748,aa01005800016a9e4485000222e0000042ac0fb83fb429c042abf7e33fb1072942abf9d23fb181f542ac072f3fb1cc5b42ac0de63fb13db142abf1793faf2805427000903863851f000000000000000000000000000f250a,88
51,pmu-1,2026-09-07T04:58:33.1022521Z,1788757124,980000,980000,-11877.748,aa01005800016a9e4484000ef420000042be05d9402162d342be02984022c2cb42be0e754021ab5742bde94b4023734042bdf8db4020975042bdf394401f2d7f426fff1d390ab8520000000000000000000000000005dec4,88
52,pmu-4,2026-09-07T04:58:33.1022521Z,1788757124,840000,840000,-11737.748,aa01005800016a9e4484000cd14000004293fa85be0cc9bf4293fe79bdf2e38e42940e5cbdee7bc142940ad1be195bcc4293fab9bdcdd19242940787be168249426ffc30b95d3333000000000000000000000000000a2902,88
53,pmu-2,2026-09-07T04:58:33.1022521Z,1788757125,260000,260000,-12157.748,aa01005800016a9e44850003f7a0000042ac04233fb307de42abe59c3fafe39042abfb533faeab8a42ac075f3fb144db42abfc7d3fafaea242abfb3e3fae80e5426ff5d6b82a3d710000000000000000000000000005353b,88
54,pmu-1,2026-09-07T04:58:33.1022521Z,1788757125,0,0,-11897.748,aa01005800016a9e448500000000000042c40a904039b4b942c3fe56403ad27142c40cb9403999a342c3e4af403c2c5042c3fc03403818db42c3f0624037ae60427001bc3856b85200000000000000000000000000060b91,88
55,pmu-3,2026-09-07T04:58:33.1027636Z,1788757125,160000,160000,-12057.236,aa01005800016a9e448500027100000042b2138d3fe34dfa42b1faa83fe10b7442b1febf3fe0b32f42b20bea3fe1736d42b20e733fe1be6342b1f3c33fde6e44426ffff0b74ccccd0000000000000000000000000000fc24,88
56,pmu-1,2026-09-07T04:58:33.1027636Z,1788757125,20000,20000,-11917.236,aa01005800016a9e448500004e20000042480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb426ff6a0b963851f00000000000000000000000000073672,88
57,pmu-3,2026-09-07T04:58:33.148122Z,1788757125,180000,180000,-12031.878,aa01005800016a9e44850002bf20000042b813e0400a35fb42b7f99e4008de0e42b7fce44008751942b80d644009212c42b811514008eebe42b7f170400775a74270088a393028f60000000000000000000000000001c94f,88
58,pmu-2,2026-09-07T04:58:33.148122Z,1788757125,280000,280000,-12131.878,aa01005800016a9e4485000445c0000042b2076f3fe3cade42b1e6df3fdeff6442b1f6d03fe004b942b20acc3fe1a53642b1fe9c3fdeb57542b1f78f3fdf83934270044d39941eb8000000000000000000000000000601d6,88
59,pmu-5,2026-09-07T04:58:33.148122Z,1788757125,380000,380000,-12231.878,aa01005800016a9e44850005cc60000042480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb4270047a3972cccd00000000000000000000000000037974,88
60,pmu-1,2026-09-07T04:58:33.148122Z,1788757125,40000,40000,-11891.878,aa01005800016a9e448500009c4000004253f64ac03167124253f8d6c0318aea4253fbd3c0312e2e42540552c030de0c4253fdf4c030b7ab4253ff24c030adb7426fff17392d5c2900000000000000000000000000084b62,88
61,pmu-4,2026-09-07T04:58:33.148122Z,1788757124,860000,860000,-11711.878,aa01005800016a9e4484000d1f6000004299f9e43e6d25d54299fde53e84c12d429a09443e855452429a0ab03e6732134299f9663e8a0cec429a09f43e67ed0242700318390d70a4000000000000000000000000000bad59,88
62,pmu-5,2026-09-07T04:58:33.193935Z,1788757125,400000,400000,-12206.065,aa01005800016a9e448500061a8000004253fcf5c0305c77425405adc030c7234253f640c030ae194253ff2dc03183484253ffc0c030cf844253fd0dc0314dda42700182b8733333000000000000000000000000000411b8,88
63,pmu-1,2026-09-07T04:58:33.193935Z,1788757125,60000,60000,-11866.065,aa01005800016a9e44850000ea600000425ff2e8c018a6bd425ff841c019bad4425ff1f0c0191f8b42600282c018cd73426004bbc018450f425ffbb3c01886a14270063039115c2900000000000000000000000000099fd2,88
64,pmu-3,2026-09-07T04:58:33.193935Z,1788757125,200000,200000,-12006.065,aa01005800016a9e448500030d40000042be15104022419c42bdfd944020c25742bdfe66402076e242be0dd240211c7a42be0d874021057342bdecba401f23ba426ff77fb9ae851f00000000000000000000000000026125,88
65,pmu-5,2026-09-07T04:58:33.193935Z,1788757125,420000,420000,-12226.065,aa01005800016a9e4485000668a00000425ff743c018dc39425ffdf9c018420c425ffca6c01835eb425ff695c018f7ca425ffd53c018f2e4425ffc42c018baa7427004183853d70a00000000000000000000000000054acb,88
66,pmu-2,2026-09-07T04:58:33.193935Z,1788757125,300000,300000,-12106.065,aa01005800016a9e4485000493e0000042b802de40097aed42b7e5ca40072fe442b7f7dc4008a41842b807444008d35042b8012540075e6f42b7fc1b4007c379426ffec3b8e2e1480000000000000000000000000007b3aa,88
67,pmu-4,2026-09-07T04:58:33.193935Z,1788757124,880000,880000,-11686.065,aa01005800016a9e4484000d6d800000429ffbe03f19e93c42a000053f20908542a005723f21ab0542a00c643f1b6c7a429ff6403f26084142a007693f188c59426ff9ebb93beb85000000000000000000000000000cf53f,88
68,pmu-1,2026-09-07T04:58:33.193935Z,1788757125,80000,80000,-11886.065,aa01005800016a9e4485000138800000426bfcd0c000f650426bf990c0013533426bf0d4c000d12a426c0428c0011ac9426c0a54bffff80a426bf6f4c0004dca427009733885999a000000000000000000000000000ad076,88
69,pmu-2,2026-09-07T04:58:33.193935Z,1788757125,320000,320000,-12126.065,aa01005800016a9e44850004e200000042be05f24021d55d42bde717401ee64642bdf7204020599142be058f4020e8ca42bdff75401efcb542bdfda0401f51e3426ffee43628f5c30000000000000000000000000008e4df,88
70,pmu-4,2026-09-07T04:58:33.193935Z,1788757124,900000,900000,-11706.065,aa01005800016a9e4484000dbba0000042a5ff3e3f77e51642a602ef3f80c08442a601253f812a6842a607583f7cce5b42a5f2d63f8308f642a606a43f7aeb46426ffefc38cf851f000000000000000000000000000db15f,88
71,pmu-3,2026-09-07T04:58:33.193935Z,1788757125,220000,220000,-12026.065,aa01005800016a9e448500035b60000042c4181a403a9c0742c400bb4038715042c3fbd74037f45e42c410be4039000842c40ea940388b0842c3ecbe40373b53426ff972381fae140000000000000000000000000003bebd,88
72,pmu-4,2026-09-07T04:58:33.2437032Z,1788757124,920000,920000,-11676.297,aa01005800016a9e4484000e09c0000042abfddd3fad528242ac055c3fb201f542ac060b3fb291ee42ac04263fafdb1a42abf5c93fb3056042ac03e13fae2f75426ff927b8eee148000000000000000000000000000e8476,88
73,pmu-2,2026-09-07T04:58:33.2437032Z,1788757125,340000,340000,-12096.297,aa01005800016a9e448500053020000042c4083c4039925c42c3e5b14036857542c3f8b14038b45342c401db4038709242c3fe1e4036c51842c40020403730d3427003a738c30a3d00000000000000000000000000093785,88
74,pmu-1,2026-09-07T04:58:33.2445716Z,1788757125,100000,100000,-11855.428,aa01005800016a9e4485000186a000004277f8e2bfd0753d4277fce8bfd1d1b34277f73fbfd06f7242780ab8bfd233d6427809a9bfce89134277f80bbfcfea19427005fbb88e147b000000000000000000000000000b9e4e,88
75,pmu-5,2026-09-07T04:58:33.2445716Z,1788757125,440000,440000,-12195.428,aa01005800016a9e44850006b6c00000426bf759c000f554426c039fc0004e90426bf777bfff87ff426becc0c000a41f426bfe92c000f037426bffd7c000aa13427007e0389ae14800000000000000000000000000067d9f,88
76,pmu-3,2026-09-07T04:58:33.2445716Z,1788757125,240000,240000,-11995.428,aa01005800016a9e44850003a980000042480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb4270048939631eb80000000000000000000000000004e604,88
77,pmu-3,2026-09-07T04:58:33.2854353Z,1788757125,260000,260000,-11974.565,aa01005800016a9e44850003f7a0000042540476c03085774253feb5c030b691425402b7c030e17f42540187c0312af6425403fac03079af42540307c031031c426ff72eb988c28f000000000000000000000000000517c1,88
78,pmu-5,2026-09-07T04:58:33.2854353Z,1788757125,460000,460000,-12174.565,aa01005800016a9e4485000704e000004277f40cbfd2b3e442780a6fbfd18ad24277f48bbfcf525c4277f09ebfd177b14277f6ebbfd159fe427809a8bfd0c2c0426ffc10b971eb850000000000000000000000000007f58b,88
79,pmu-3,2026-09-07T04:58:33.2854353Z,1788757125,280000,280000,-11994.565,aa01005800016a9e4485000445c00000425ffec7c017cd46426001f3c01839ea426000e6c019360b42600632c0196e8242600d2dc018a97a425ff976c0185f26426ffc8f38dc51ec00000000000000000000000000067471,88
80,pmu-5,2026-09-07T04:58:33.2854353Z,1788757125,480000,480000,-12194.565,aa01005800016a9e44850007530000004281f6d4bfa16d7d42820794bfa08c614281f650bf9eab3e4281fcdbbfa15a7f4281f678bfa227ba42820069bfa0bd42426ffc8f37228f5c00000000000000000000000000085c20,88
81,pmu-1,2026-09-07T04:58:33.2854353Z,1788757125,120000,120000,-11834.565,aa01005800016a9e44850001d4c000004281f770bfa140c542820087bfa1301a4282008bbfa057a242820392bfa1ee574282006ebf9dfc9e4281f7e5bfa014fc427009ab38970a3d000000000000000000000000000cf9e9,88
82,pmu-2,2026-09-07T04:58:33.2854353Z,1788757125,360000,360000,-12074.565,aa01005800016a9e448500057e40000042480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb42480000c0490fdb426ffe90b8d07ae1000000000000000000000000000a4bec,88
83,pmu-1,2026-09-07T04:58:33.2854353Z,1788757125,140000,140000,-11854.565,aa01005800016a9e4485000222e000004287f54fbf631c704287fbbbbf62536b428800debf6041b7428807c8bf62fb7242880444bf5ca1da4287f4bebf5f89d1426fff6eb951ae14000000000000000000000000000dca4a,88
84,pmu-4,2026-09-07T04:58:33.2860096Z,1788757124,940000,940000,-11653.990,aa01005800016a9e4484000e57e0000042b1fe243fdd9c7742b2040a3fe2f22842b20a5e3fe1fdb842b204563fe1321b42b1f7ab3fe2440642b202413fdf3ec7426ffc08386bd70a000000000000000000000000000fa46a,88
85,pmu-2,2026-09-07T04:58:33.2860096Z,1788757125,380000,380000,-12093.990,aa01005800016a9e44850005cc600000425405ebc030ff73425404dcc031732c42540539c03075bc4254071ec030b61e4253fa96c0304f394253fa9fc0318d4d426ffee736deb852000000000000000000000000000bd615,88
86,pmu-4,2026-09-07T04:58:33.2860096Z,1788757124,960000,960000,-11673.990,aa01005800016a9e4484000ea600000042b7fb734006affd42b806aa40092d7142b80ebf4008ec9e42b804014008421642b7f31d4009d1b442b803a340075ff74270083e397a147b00000000000000000000000000004de9,88
87,pmu-5,2026-09-07T04:58:33.3307841Z,1788757125,500000,500000,-12169.216,aa01005800016a9e44850007a12000004287fa1fbf60c8e5428805a7bf60af684287f374bf5b3f0b4287fc91bf6402894287f994bf64e5fe42880052bf61a021426ffd9c37ac28f600000000000000000000000000098553,88
88,pmu-3,2026-09-07T04:58:33.3307841Z,1788757125,300000,300000,-11969.216,aa01005800016a9e4485000493e00000426bfedbbfffa7fe426c0658bfff2649426c0a65c000da46426bfc0fc000f773426c095ec00063ca426bf0e5c00054f4426ff6d7b8ea3d7100000000000000000000000000073d6a,88
89,pmu-1,2026-09-07T04:58:33.3307841Z,1788757125,160000,160000,-11829.216,aa01005800016a9e4485000271000000428df6e2bf004378428df894bf01d78c428e0340befee749428e030bbf0255c6428e032abef3c972428df980bf00b5cd426ffd0fb8423d71000000000000000000000000000e93c7,88
90,pmu-2,2026-09-07T04:58:33.3307841Z,1788757125,400000,400000,-12069.216,aa01005800016a9e448500061a800000426001bec018dc79426006a6c0190955425ffdcac018e031426002c0c018bd8a425ff0a8c0180793425ff0c9c0198db4426ffd1db8128f5c000000000000000000000000000cf357,88
91,pmu-4,2026-09-07T04:58:33.3307841Z,1788757124,980000,980000,-11649.216,aa01005800016a9e4484000ef420000042bdfefc401eff5642be090d4021380f42be105e40216cca42be0006401fce4f42bdf72840226a8642be0352401f654b427007b9b72a3d7100000000000000000000000000017fd8,88
92,pmu-4,2026-09-07T04:58:33.3313493Z,1788757125,0,0,-11668.651,aa01005800016a9e448500000000000042c3fdd34036da8542c408eb4038d53642c40f2a403979a342c3fd684037ac7c42c3f292403aaca742c401b140381b41426ff866b99ceb850000000000000000000000000002fa06,88
93,pmu-5,2026-09-07T04:58:33.3769125Z,1788757125,520000,520000,-12143.087,aa01005800016a9e44850007ef400000428df9a4bf01a0e0428e059fbefefcbe428df5c2bef3c9b1428dfcffbf048b13428dfe3bbf0481af428dfcadbeff8c934270019438a28f5c000000000000000000000000000a133c,88
94,pmu-5,2026-09-07T04:58:33.3769125Z,1788757125,540000,540000,-12163.087,aa01005800016a9e448500083d6000004293f500be01e614429402d0be05f4a44293f6e9bdd32ee74293f96fbe1787984293fb17be0dc4844293fa33be028207426ff9c3b920147b000000000000000000000000000b0412,88
95,pmu-3,2026-09-07T04:58:33.3769125Z,1788757125,320000,320000,-11943.088,aa01005800016a9e44850004e20000004278064dbfce816e42780cafbfcfc9c7427800dabfd18f794277f3b0bfd15f2442780fdbbfd16cb64277e833bfcf3bcd427000803945d70a0000000000000000000000000008e3ec,88
96,pmu-3,2026-09-07T04:58:33.3769125Z,1788757125,340000,340000,-11963.087,aa01005800016a9e44850005302000004281fe8cbf9dc29742820b00bf9f596c4281fc52bfa25c914281fcdebfa2639342820b5fbfa2258b4281f8f5bf9e9415426ffba3b8c733330000000000000000000000000009bf18,88
